,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
89,538926,97.0,6.11693,CN1CCCN(CC1)Cc2cccc(c2)c3cccc(c3)NS(=O)(=O)c4cccc5c4nccc5.C(=O)(C(F)(F)F)O
90,538929,89.0,5.982480000000001,CC(C)CCN1CCC(CC1)Oc2ccc(cc2Cl)NC(=O)c3ccsc3.C(=O)(C(F)(F)F)O
91,538968,98.0,6.09553,CN(C)CCCc1cc(ccc1OC)C(=O)Nc2ccc(cc2)c3ccc(cc3)N(=O)=O.Cl
92,543105,96.0,6.7314,CN(C1CCN(CC1)CCCCCNC(=O)/C=C/c2ccc(c(c2)Cl)Cl)C(=O)c3c(nns3)c4ccccc4
93,539011,98.0,6.04953,CCc1c(c(c2cnn(c2n1)CC)NC3CCOCC3)CNC(=O)N4CCOCC4
94,539095,91.0,6.04925,CC(C)CN1CCCN(CC1)Cc2cccc(c2)NC(=O)c3ccc(c(c3)Cl)Cl.C(=O)(C(F)(F)F)O
95,539211,90.0,6.1584699999999994,Cc1cc(no1)C(=O)Nc2ccc(cc2)c3ccccc3
96,542766,98.0,6.01719,c1ccc(c(c1)C=CC(=O)N2CCC(CC2)CN3CCC(CC3)c4c[nH]c5c4cccc5)O
97,541626,100.0,6.22812,Cc1c2cc(ccc2[nH]n1)c3ccc4c(c3)c(ccn4)N5CCC(CC5)N.Cl
98,539251,100.0,6.22998,Cc1cccc2c1[nH]c(n2)c3ccc(cc3)c4ccc(cc4)CN5CCCCC5.C(=O)(C(F)(F)F)O
99,539293,100.0,6.2161,c1cc(cc(c1)c2[nH]c3ccc(cc3n2)F)c4ccc(cc4)CN5CCN(CC5)CCO.C(=O)(C(F)(F)F)O
100,539299,99.0,6.2304699999999995,CCn1c(nnc1SCC(=O)N2c3ccccc3Sc4c2cccc4)Cc5ccccc5
101,541633,98.0,6.27457,Cn1c2c(cnc(n2)NCCCCN3CCCC3)c(n1)c4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F.C(=O)(C(F)(F)F)O
102,474990,99.0,6.0734699999999995,CS(=O)(=O)CCNCc1ccc([nH]1)c2cc3c(ncnc3s2)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
103,539332,100.0,6.557189999999999,Cc1cc(c2cc(ccc2n1)OC)Nc3ccc(c(c3)Cl)Oc4ccc(c5c4cccc5)Br
104,542246,93.0,5.96205,CC(C)(C(=O)N)Oc1c(ccc2c1CCCC2)C3CCN(CC3)CCCCNC(=O)c4ccc(cc4)c5ccc(cc5)Cl
105,539377,100.0,6.1941,c1ccc(cc1)C(=O)Nc2ccc(cc2)c3cc(nc4c3c(ncn4)N)c5ccc(cc5)F
106,541979,100.0,6.11634,COc1ccc2c(c1)c(c[nH]2)C3CCN(CC3)Cc4ccc(cc4)NC(=O)c5ccc(cc5)c6ccccc6
107,538940,98.0,6.04695,c1cc2c(ccn2CCCC3CCCNC3)c4c1nc(nc4N)N.Cl
108,538976,82.0,6.0220199999999995,CC(C)C[C@@H](C(=O)N[C@@H](CCc1ccccc1)/C=N/NC(=O)Cc2cccnc2)NC(=O)c3cc4cccc(c4o3)OC
109,538977,93.0,8.49485,CC1(NC(=NC(=N)N1OCCOc2cccc(c2)C(F)(F)F)N)C.Br
110,541587,100.0,6.06586,CS(=O)(=O)O.C=CCOc1ccc2ccccc2c1CNCCCCCCNCc3c4ccccc4ccc3OCC=C
111,539059,99.0,6.607710000000001,CCCCCNC(=N)c1ccc(cc1)OCCCCCOc2ccc(cc2)C(=N)NCCCCC.Cl
112,539099,89.0,5.74631,CN(C(=N)NCCCC#Cc1cccc(c1)CN2CCCC2)N=Cc3ccccc3
113,539178,97.0,6.06257,CN(C)CCOc1ccc(cc1)n2c3c(cncc3nc2c4c(non4)N)c5ccc(cc5)F
114,524874,100.0,7.04962,CC(=O)Nc1nc(cs1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccc(cc5n4)F
115,539693,84.0,6.04825,Cc1cc(ccc1OC2CCN(C2)Cc3ccccc3)NC(=O)c4cccs4.C(=O)(C(F)(F)F)O
116,539697,100.0,6.1236,Cc1ccc2c(c1)c(cc(n2)C)NN=Cc3ccccc3Cl
117,539730,92.0,5.9259,Cc1c2cccc(c2[nH]c1CN3CCC(CC3)N4CCC(CC4)C(=O)NC5CC5)Cl
118,539731,100.0,6.1820699999999995,CCCCc1cc(nc(n1)Nc2ccccc2)NC3CCN(CC3)C
119,539894,99.0,6.35383,c1cc(ccc1C#N)c2ccc(cc2)C(=O)NCC3CCN(CC3)CCN4CCC(CC4)c5ccc6c(c5OCC(=O)N)CCCC6
120,539969,87.0,5.896719999999999,c1ccc(cc1)CCNc2ccnc3c2ccc(c3)C(F)(F)F.Cl
121,540011,100.0,6.38676,Cc1cccc2c1[nH]c(n2)c3ccc(cc3)c4cccc(c4)NC(=O)CCc5c[nH]cn5
122,542856,81.0,5.99761,CCCc1cc(=O)oc2c1c(c(c(c2)OC)C(=O)CC(C)C)OC
124,539466,88.0,6.01917,CCCC(=O)NC(c1ccc(cc1)C)c2ccc3cccnc3c2O
125,542149,99.0,5.90873,Cc1cc(nc(n1)NCCc2ccccc2)NCCC(=O)NCCOc3ccccc3.C(=O)(C(F)(F)F)O
126,539321,100.0,6.839930000000001,c1cc(cc(c1)NC(=O)Nc2ccc(cc2)c3ccc(cc3)c4[nH]c5ccc(cc5n4)C(F)(F)F)C#N
127,539358,97.0,6.11836,Cc1ccn2cc(nc2c1)c3cccc(c3)NC(=O)c4cc(c(c(c4)OC)OC)OC
128,539393,89.0,5.90263,c1ccc2c(c1)c(=O)cc(n2CC(=O)N(Cc3ccc(cc3)c4ccc(cc4)C(F)(F)F)C5CCN(CC5)CCO)SCc6cccc(c6F)F
129,538792,86.0,6.16244,Cc1ccc(cc1)OCC(=O)Nc2cc(c(cc2OC)OC)Cl
130,128402,94.0,6.0501,CN(CCCOc1ccc(c(c1)OC)NC(=O)c2cccc3c2[nH]c4c(c3=O)cccc4F)Cc5ccc(c(c5)OC)OC
131,542642,100.0,6.13356,c1cc(cc(c1)NC(=O)Nc2ccc(c(c2)Cl)Cl)C(F)(F)F
132,539509,91.0,6.0231,CC(CCCCCC(=O)Nc1ccc(cc1)CC(C)NCCc2cccc(c2)Cl)NCCc3cccc(c3)Cl
133,539514,92.0,6.11975,c1ccc2c(c1)[nH]c(n2)c3ccc(s3)c4cccc(c4)NC(=O)CCc5c[nH]cn5
134,539515,88.0,5.92724,CC(C)CNCc1cccc(c1)c2cccc(c2)CNCCCN3CCN(CC3)C.C(=O)(C(F)(F)F)O
135,539549,100.0,6.35199,COc1cc2c(cc1OC)nc(nc2Nc3ccc(cc3)Oc4ccccc4)NCc5ccc(cc5)S(=O)(=O)N
136,539586,100.0,6.22872,CCOc1ccc(cc1N(=O)=O)C(=O)Nc2ccc(cc2)c3[nH]c4ccccc4n3
